ReallocationReference,RequestDate,ApprovalDate,FinancialYear,RequestingCostCentre,RequestingDirectorate,SourceCostCentre,SourceActivity,SourceVoteCode,DestinationCostCentre,DestinationActivity,DestinationVoteCode,ReallocationAmount,Reason,RequestedByRole,ReviewedByRole,ApprovedByRole,Status,ProcessingDate,SupportingDocument,DaysToApproval,DaysToProcess
RLC-FY2023/20-0001,2024-01-01,2024-01-16,FY2023/2024,CC-030,DIR-11,CC-029,ACT-025,V-2510,CC-030,ACT-025,V-2210,2391000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-21,RLC-629663,15,5.0
RLC-FY2023/20-0002,2024-02-14,2024-02-28,FY2023/2024,CC-004,DIR-04,CC-014,ACT-029,V-2510,CC-004,ACT-008,V-2410,2546000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-03-13,RLC-460971,14,14.0
RLC-FY2023/20-0003,2023-09-22,,FY2023/2024,CC-014,DIR-13,CC-006,ACT-015,V-2540,CC-014,ACT-029,V-2120,2056000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-778827,39,
RLC-FY2023/20-0004,2023-07-05,2023-08-07,FY2023/2024,CC-015,DIR-13,CC-008,ACT-019,V-2440,CC-015,ACT-030,V-5110,296000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-22,RLC-730343,33,15.0
RLC-FY2023/20-0005,2023-11-18,2023-12-18,FY2023/2024,CC-015,DIR-13,CC-027,ACT-027,V-2520,CC-015,ACT-029,V-3110,3621000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-02,RLC-581294,30,15.0
RLC-FY2023/20-0006,2024-01-20,2024-02-29,FY2023/2024,CC-012,DIR-12,CC-009,ACT-021,V-3110,CC-012,ACT-028,V-5120,4157000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-03-02,RLC-688730,40,2.0
RLC-FY2023/20-0007,2024-03-03,,FY2023/2024,CC-012,DIR-12,CC-022,ACT-040,V-2540,CC-012,ACT-040,V-3110,3485000,Work plan revision,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-390334,7,
RLC-FY2023/20-0008,2023-07-30,2023-09-09,FY2023/2024,CC-021,DIR-13,CC-009,ACT-022,V-2310,CC-021,ACT-029,V-5120,3874000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-09-16,RLC-856320,41,7.0
RLC-FY2023/20-0009,2023-07-19,,FY2023/2024,CC-028,DIR-12,CC-001,ACT-039,V-2520,CC-028,ACT-028,V-2440,2142000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-459836,40,
RLC-FY2023/20-0010,2023-12-31,,FY2023/2024,CC-032,DIR-11,CC-024,ACT-040,V-5130,CC-032,ACT-025,V-4120,4551000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Pending,,RLC-408054,35,
RLC-FY2023/20-0011,2023-12-19,2024-02-01,FY2023/2024,CC-008,DIR-08,CC-004,ACT-037,V-2520,CC-008,ACT-019,V-2340,4745000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-02-03,RLC-880360,44,2.0
RLC-FY2023/20-0012,2023-11-28,2023-12-30,FY2023/2024,CC-025,DIR-12,CC-029,ACT-026,V-3130,CC-025,ACT-028,V-2410,1451000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-13,RLC-765213,32,14.0
RLC-FY2023/20-0013,2024-01-12,2024-02-17,FY2023/2024,CC-009,DIR-09,CC-020,ACT-029,V-2360,CC-009,ACT-022,V-5110,775000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-02-22,RLC-244037,36,5.0
RLC-FY2023/20-0014,2023-10-01,2023-10-09,FY2023/2024,CC-021,DIR-13,CC-007,ACT-018,V-4110,CC-021,ACT-030,V-2310,1719000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-10-17,RLC-428638,8,8.0
RLC-FY2023/20-0015,2023-09-25,2023-11-03,FY2023/2024,CC-031,DIR-11,CC-021,ACT-029,V-2460,CC-031,ACT-025,V-2530,1205000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-11-16,RLC-235691,39,13.0
RLC-FY2023/20-0016,2024-01-13,2024-01-16,FY2023/2024,CC-010,DIR-10,CC-021,ACT-030,V-2430,CC-010,ACT-024,V-2450,4834000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-17,RLC-114760,3,1.0
RLC-FY2023/20-0017,2023-11-05,,FY2023/2024,CC-015,DIR-13,CC-030,ACT-026,V-2120,CC-015,ACT-029,V-2110,3208000,Donor compliance requirement,Cost Centre Manager,Head of Budget,,Rejected,,RLC-235193,17,
RLC-FY2023/20-0018,2023-11-30,2023-12-21,FY2023/2024,CC-014,DIR-13,CC-004,ACT-037,V-2330,CC-014,ACT-030,V-2212,4154000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-12-29,RLC-554730,21,8.0
RLC-FY2023/20-0019,2023-09-23,2023-10-21,FY2023/2024,CC-011,DIR-11,CC-030,ACT-025,V-4130,CC-011,ACT-026,V-3140,3801000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-10-22,RLC-321449,28,1.0
RLC-FY2023/20-0020,2023-07-20,2023-08-16,FY2023/2024,CC-008,DIR-08,CC-025,ACT-027,V-2240,CC-008,ACT-019,V-2410,3613000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-31,RLC-722774,27,15.0
RLC-FY2023/20-0021,2024-01-11,2024-01-21,FY2023/2024,CC-020,DIR-13,CC-002,ACT-003,V-2211,CC-020,ACT-029,V-2240,2201000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-30,RLC-315477,10,9.0
RLC-FY2023/20-0022,2024-03-23,2024-04-12,FY2023/2024,CC-031,DIR-11,CC-023,ACT-040,V-3110,CC-031,ACT-025,V-2440,3376000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-22,RLC-539170,20,10.0
RLC-FY2023/20-0023,2024-03-11,2024-03-26,FY2023/2024,CC-014,DIR-13,CC-028,ACT-027,V-2540,CC-014,ACT-029,V-2240,3967000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-05,RLC-971889,15,10.0
RLC-FY2023/20-0024,2024-04-06,2024-05-10,FY2023/2024,CC-009,DIR-09,CC-018,ACT-029,V-2440,CC-009,ACT-022,V-2540,970000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-05-25,RLC-446663,34,15.0
RLC-FY2023/20-0025,2024-03-09,,FY2023/2024,CC-025,DIR-12,CC-008,ACT-019,V-2220,CC-025,ACT-027,V-2240,4209000,Savings from completed activity,Cost Centre Manager,Head of Budget,,Pending,,RLC-858711,12,
RLC-FY2023/20-0026,2023-11-29,2023-12-18,FY2023/2024,CC-029,DIR-11,CC-024,ACT-027,V-2390,CC-029,ACT-026,V-4110,4946000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-12-26,RLC-141360,19,8.0
RLC-FY2023/20-0027,2023-08-18,,FY2023/2024,CC-005,DIR-05,CC-029,ACT-026,V-3120,CC-005,ACT-013,V-2450,3745000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Pending,,RLC-444625,5,
RLC-FY2023/20-0028,2023-12-23,2024-01-06,FY2023/2024,CC-027,DIR-12,CC-012,ACT-028,V-2530,CC-027,ACT-040,V-2220,1989000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-08,RLC-385037,14,2.0
RLC-FY2023/20-0029,2023-07-31,2023-08-13,FY2023/2024,CC-019,DIR-13,CC-028,ACT-028,V-2440,CC-019,ACT-030,V-2330,743000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-15,RLC-941235,13,2.0
RLC-FY2023/20-0030,2023-09-05,2023-10-08,FY2023/2024,CC-026,DIR-12,CC-019,ACT-030,V-2420,CC-026,ACT-027,V-3140,3135000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-10-23,RLC-562094,33,15.0
RLC-FY2023/20-0031,2024-03-25,2024-05-03,FY2023/2024,CC-018,DIR-13,CC-002,ACT-003,V-3120,CC-018,ACT-030,V-2110,3582000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-05-15,RLC-644315,39,12.0
RLC-FY2023/20-0032,2024-01-14,,FY2023/2024,CC-009,DIR-09,CC-018,ACT-029,V-2510,CC-009,ACT-022,V-4120,1860000,Priority activity underfunded,Cost Centre Manager,Head of Budget,,Pending,,RLC-112210,12,
RLC-FY2023/20-0033,2024-03-08,2024-03-31,FY2023/2024,CC-008,DIR-08,CC-022,ACT-027,V-4130,CC-008,ACT-020,V-2330,559000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-04,RLC-152796,23,4.0
RLC-FY2023/20-0034,2023-08-10,,FY2023/2024,CC-025,DIR-12,CC-017,ACT-029,V-2420,CC-025,ACT-040,V-2430,4122000,Performance contract revision,Cost Centre Manager,Head of Budget,,Pending,,RLC-192295,32,
RLC-FY2023/20-0035,2023-07-10,2023-07-19,FY2023/2024,CC-010,DIR-10,CC-029,ACT-026,V-3120,CC-010,ACT-024,V-2240,4907000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-07-26,RLC-966028,9,7.0
RLC-FY2023/20-0036,2023-07-28,2023-08-14,FY2023/2024,CC-001,DIR-01,CC-004,ACT-010,V-4110,CC-001,ACT-002,V-3130,1944000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-28,RLC-851470,17,14.0
RLC-FY2023/20-0037,2023-10-22,2023-10-25,FY2023/2024,CC-023,DIR-12,CC-022,ACT-028,V-2460,CC-023,ACT-040,V-2240,668000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-10-31,RLC-674295,3,6.0
RLC-FY2023/20-0038,2024-01-26,2024-02-04,FY2023/2024,CC-008,DIR-08,CC-018,ACT-030,V-2210,CC-008,ACT-019,V-2330,2564000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-02-09,RLC-226611,9,5.0
RLC-FY2023/20-0039,2023-08-25,,FY2023/2024,CC-023,DIR-12,CC-031,ACT-026,V-4110,CC-023,ACT-027,V-2360,3641000,Savings from completed activity,Cost Centre Manager,Head of Budget,,Rejected,,RLC-909652,29,
RLC-FY2023/20-0040,2023-07-03,2023-08-08,FY2023/2024,CC-015,DIR-13,CC-030,ACT-026,V-5110,CC-015,ACT-030,V-2250,4827000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-20,RLC-979562,36,12.0
RLC-FY2023/20-0041,2023-12-12,2024-01-16,FY2023/2024,CC-011,DIR-11,CC-020,ACT-030,V-2340,CC-011,ACT-025,V-2250,697000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-31,RLC-386886,35,15.0
RLC-FY2023/20-0042,2024-03-19,2024-04-10,FY2023/2024,CC-005,DIR-05,CC-014,ACT-030,V-2460,CC-005,ACT-013,V-2250,863000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-24,RLC-846454,22,14.0
RLC-FY2023/20-0043,2023-11-26,2023-12-21,FY2023/2024,CC-011,DIR-11,CC-025,ACT-040,V-2360,CC-011,ACT-025,V-2380,3196000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-05,RLC-628370,25,15.0
RLC-FY2023/20-0044,2024-01-30,,FY2023/2024,CC-030,DIR-11,CC-018,ACT-030,V-3140,CC-030,ACT-025,V-4120,2997000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,,Rejected,,RLC-947568,37,
RLC-FY2023/20-0045,2023-07-29,,FY2023/2024,CC-015,DIR-13,CC-001,ACT-001,V-2420,CC-015,ACT-029,V-2310,455000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Pending,,RLC-400538,15,
RLC-FY2023/20-0046,2024-04-03,,FY2023/2024,CC-018,DIR-13,CC-023,ACT-028,V-2211,CC-018,ACT-029,V-2540,1179000,Savings from completed activity,Cost Centre Manager,Head of Budget,,Pending,,RLC-746036,5,
RLC-FY2023/20-0047,2023-11-25,,FY2023/2024,CC-021,DIR-13,CC-029,ACT-025,V-2510,CC-021,ACT-030,V-5110,3965000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,,Rejected,,RLC-536801,45,
RLC-FY2023/20-0048,2024-02-12,2024-02-29,FY2023/2024,CC-019,DIR-13,CC-032,ACT-026,V-2110,CC-019,ACT-029,V-2520,1175000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-03-15,RLC-891787,17,15.0
RLC-FY2023/20-0049,2023-08-08,2023-08-22,FY2023/2024,CC-014,DIR-13,CC-020,ACT-029,V-2540,CC-014,ACT-029,V-2460,1052000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-25,RLC-495521,14,3.0
RLC-FY2023/20-0050,2023-11-08,2023-11-11,FY2023/2024,CC-012,DIR-12,CC-002,ACT-035,V-2520,CC-012,ACT-028,V-2250,972000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-11-17,RLC-141880,3,6.0
RLC-FY2023/20-0051,2024-04-07,,FY2023/2024,CC-003,DIR-03,CC-006,ACT-015,V-3110,CC-003,ACT-006,V-4130,3992000,Work plan revision,Cost Centre Manager,Head of Budget,,Pending,,RLC-650916,25,
RLC-FY2023/20-0052,2024-03-31,2024-04-28,FY2023/2024,CC-010,DIR-10,CC-008,ACT-019,V-5110,CC-010,ACT-023,V-2330,2196000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-30,RLC-795556,28,2.0
RLC-FY2023/20-0053,2024-03-28,,FY2023/2024,CC-031,DIR-11,CC-011,ACT-026,V-2540,CC-031,ACT-026,V-2380,4761000,Priority activity underfunded,Cost Centre Manager,Head of Budget,,Pending,,RLC-220294,33,
RLC-FY2023/20-0054,2023-12-12,,FY2023/2024,CC-003,DIR-03,CC-023,ACT-028,V-2510,CC-003,ACT-007,V-2510,4803000,Savings from completed activity,Cost Centre Manager,Head of Budget,,Pending,,RLC-504620,27,
RLC-FY2023/20-0055,2024-03-17,2024-04-17,FY2023/2024,CC-016,DIR-13,CC-009,ACT-022,V-5120,CC-016,ACT-029,V-2410,2669000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-25,RLC-435872,31,8.0
RLC-FY2023/20-0056,2023-08-03,2023-08-19,FY2023/2024,CC-032,DIR-11,CC-017,ACT-029,V-2330,CC-032,ACT-025,V-5130,2759000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-30,RLC-818699,16,11.0
RLC-FY2023/20-0057,2023-08-06,2023-08-18,FY2023/2024,CC-001,DIR-01,CC-015,ACT-029,V-5130,CC-001,ACT-002,V-2450,3303000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-19,RLC-139726,12,1.0
RLC-FY2023/20-0058,2024-04-20,2024-05-07,FY2023/2024,CC-029,DIR-11,CC-003,ACT-006,V-2340,CC-029,ACT-025,V-2520,2879000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-05-22,RLC-573039,17,15.0
RLC-FY2023/20-0059,2023-08-30,2023-10-06,FY2023/2024,CC-027,DIR-12,CC-021,ACT-030,V-3120,CC-027,ACT-028,V-2120,2070000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-10-07,RLC-892682,37,1.0
RLC-FY2023/20-0060,2023-08-24,2023-09-14,FY2023/2024,CC-020,DIR-13,CC-025,ACT-040,V-2212,CC-020,ACT-029,V-3140,4655000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-09-27,RLC-395192,21,13.0
RLC-FY2023/20-0061,2024-03-30,2024-04-16,FY2023/2024,CC-009,DIR-09,CC-026,ACT-028,V-2430,CC-009,ACT-022,V-2120,2475000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-19,RLC-764845,17,3.0
RLC-FY2023/20-0062,2024-04-10,2024-04-22,FY2023/2024,CC-025,DIR-12,CC-005,ACT-013,V-2410,CC-025,ACT-040,V-2110,2857000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-24,RLC-663244,12,2.0
RLC-FY2023/20-0063,2024-03-19,2024-03-31,FY2023/2024,CC-003,DIR-03,CC-019,ACT-029,V-2380,CC-003,ACT-007,V-3140,1216000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-03,RLC-303765,12,3.0
RLC-FY2023/20-0064,2023-08-07,2023-08-28,FY2023/2024,CC-026,DIR-12,CC-004,ACT-009,V-2211,CC-026,ACT-040,V-4110,3294000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-09-08,RLC-307007,21,11.0
RLC-FY2023/20-0065,2023-10-29,2023-11-07,FY2023/2024,CC-032,DIR-11,CC-024,ACT-040,V-3130,CC-032,ACT-026,V-3140,815000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-11-12,RLC-433222,9,5.0
RLC-FY2023/20-0066,2024-01-03,2024-01-26,FY2023/2024,CC-002,DIR-02,CC-017,ACT-030,V-3110,CC-002,ACT-005,V-2310,2915000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-02-02,RLC-358133,23,7.0
RLC-FY2023/20-0067,2023-12-17,2024-01-19,FY2023/2024,CC-031,DIR-11,CC-026,ACT-027,V-2530,CC-031,ACT-026,V-2410,845000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-27,RLC-610626,33,8.0
RLC-FY2023/20-0068,2023-09-10,2023-10-17,FY2023/2024,CC-007,DIR-07,CC-019,ACT-029,V-2220,CC-007,ACT-017,V-2530,4322000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-10-21,RLC-862760,37,4.0
RLC-FY2023/20-0069,2024-04-08,,FY2023/2024,CC-017,DIR-13,CC-003,ACT-006,V-2430,CC-017,ACT-029,V-2380,4550000,Performance contract revision,Cost Centre Manager,Head of Budget,,Rejected,,RLC-785672,19,
RLC-FY2023/20-0070,2024-04-27,2024-05-18,FY2023/2024,CC-019,DIR-13,CC-026,ACT-027,V-2430,CC-019,ACT-030,V-2390,4479000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-05-21,RLC-516059,21,3.0
RLC-FY2023/20-0071,2023-09-20,,FY2023/2024,CC-001,DIR-01,CC-013,ACT-029,V-2330,CC-001,ACT-002,V-5110,874000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Rejected,,RLC-871667,14,
RLC-FY2023/20-0072,2023-10-27,2023-11-03,FY2023/2024,CC-006,DIR-06,CC-025,ACT-028,V-2210,CC-006,ACT-015,V-2390,3855000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-11-08,RLC-801062,7,5.0
RLC-FY2024/20-0073,2024-07-21,2024-09-03,FY2024/2025,CC-004,DIR-04,CC-018,ACT-030,V-4120,CC-004,ACT-037,V-4110,4431000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-09-09,RLC-975427,44,6.0
